account_id,tier,mrr,contract_start_date,contract_term_months,payment_method_age_days,payment_reliability_score,customer_health_score,licensed_users,actual_users,total_invoices,failed_payment_count,last_login_days_ago,support_tickets_90d,feature_adoption_pct,has_leakage,leakage_type,monthly_leakage_amount,estimated_annual_leakage,detection_difficulty,payment_failure_rate,user_utilization_ratio,days_since_contract_start,revenue_per_user,engagement_score,payment_risk,health_risk,engagement_risk,overutilization
ACC000145,Starter,99,2024-01-26,12,357,0.978,83.4,5,2,22,0,49,4,91.1,True,Expired_Payment_Method,99.0,1188.0,Easy,0.0,0.4,679,19.8,75.06,0,0,1,0
ACC000146,Professional,299,2024-04-18,24,125,0.342,87.2,20,21,19,2,18,2,61.1,False,None,0.0,0.0,N/A,0.10526315789473684,1.05,596,14.95,69.46000000000001,1,0,0,0
ACC000147,Starter,99,2025-09-01,12,218,0.597,76.0,5,5,3,0,28,2,69.0,False,None,0.0,0.0,N/A,0.0,1.0,95,19.8,70.2,1,0,0,0
ACC000148,Starter,99,2025-03-10,36,266,0.729,78.6,5,4,9,0,59,2,59.2,False,None,0.0,0.0,N/A,0.0,0.8,270,19.8,51.92,0,0,1,0
ACC000149,Business,799,2025-07-17,36,128,0.351,87.2,100,33,4,0,15,3,78.8,False,None,0.0,0.0,N/A,0.0,0.33,141,7.99,81.28,1,0,0,0
ACC000150,Business,799,2024-05-27,12,238,0.652,75.8,100,58,18,0,85,4,70.0,True,Failed_Payment_Retry,119.85,1438.2,Easy,0.0,0.58,557,7.99,48.0,1,0,1,0
ACC000151,Professional,299,2024-03-12,36,305,0.836,88.0,20,23,21,0,40,3,45.1,False,None,0.0,0.0,N/A,0.0,1.15,633,14.95,51.06,0,0,1,1
ACC000152,Starter,99,2024-06-10,36,259,0.71,87.6,5,2,18,0,54,1,71.4,False,None,0.0,0.0,N/A,0.0,0.4,543,19.8,61.24000000000001,0,0,1,0
ACC000153,Professional,299,2024-02-23,24,82,0.225,72.4,20,7,21,3,60,0,52.0,True,Billing_System_Error,66.65,799.75,Medium,0.14285714285714285,0.35,651,14.95,47.2,1,0,1,0
ACC000154,Professional,299,2024-06-03,24,127,0.348,86.5,20,13,18,1,81,3,59.4,True,Failed_Payment_Retry,44.85,538.2,Easy,0.05555555555555555,0.65,550,14.95,43.24,1,0,1,0
ACC000155,Starter,99,2024-11-27,36,249,0.682,97.7,5,3,12,0,80,0,53.4,False,None,0.0,0.0,N/A,0.0,0.6,373,19.8,40.04,1,0,1,0
ACC000156,Professional,299,2025-01-05,24,226,0.619,82.4,20,22,11,0,9,2,67.4,False,None,0.0,0.0,N/A,0.0,1.1,334,14.95,76.84,1,0,0,0
ACC000157,Starter,99,2024-11-18,12,140,0.384,79.3,5,1,12,0,42,3,56.5,False,None,0.0,0.0,N/A,0.0,0.2,382,19.8,57.1,1,0,1,0
ACC000158,Starter,99,2024-10-14,36,42,0.115,91.1,5,5,13,2,17,2,64.4,False,None,0.0,0.0,N/A,0.15384615384615385,1.0,417,19.8,71.84,1,0,0,0
ACC000159,Professional,299,2025-04-05,12,197,0.54,74.2,20,22,8,0,88,1,77.1,True,Billing_System_Error,62.65,751.76,Medium,0.0,1.1,244,14.95,51.06,1,0,1,0
ACC000160,Professional,299,2025-04-03,36,110,0.301,78.0,20,9,8,1,8,2,79.6,True,Billing_System_Error,56.85,682.19,Medium,0.125,0.45,246,14.95,84.56,1,0,0,0
ACC000161,Starter,99,2024-07-09,24,170,0.466,80.5,5,1,17,2,69,1,54.9,True,Failed_Payment_Retry,14.85,178.2,Easy,0.11764705882352941,0.2,514,19.8,45.339999999999996,1,0,1,0
ACC000162,Business,799,2024-05-17,24,32,0.088,94.9,100,78,18,0,26,4,64.1,True,Failed_Payment_Retry,119.85,1438.2,Easy,0.0,0.78,567,7.99,68.06,1,0,0,0
ACC000163,Starter,99,2024-07-03,24,300,0.822,77.7,5,4,17,0,89,3,68.6,False,None,0.0,0.0,N/A,0.0,0.8,520,19.8,45.559999999999995,0,0,1,0
ACC000164,Professional,299,2025-08-17,36,195,0.534,90.2,20,15,3,0,61,5,63.4,False,None,0.0,0.0,N/A,0.0,0.75,110,14.95,53.64,1,0,1,0
ACC000165,Business,799,2025-08-31,24,153,0.419,81.7,100,73,3,0,49,2,64.7,False,None,0.0,0.0,N/A,0.0,0.73,96,7.99,59.22,1,0,1,0
ACC000166,Professional,299,2024-07-04,36,280,0.767,76.5,20,16,17,1,77,1,49.2,False,None,0.0,0.0,N/A,0.058823529411764705,0.8,519,14.95,38.72,0,0,1,0
ACC000167,Starter,99,2025-01-24,24,113,0.31,73.6,5,5,10,0,34,4,18.7,False,None,0.0,0.0,N/A,0.0,1.0,315,19.8,37.620000000000005,1,0,1,0
ACC000168,Starter,99,2024-06-17,24,15,0.041,66.1,5,1,17,3,49,2,63.7,False,None,0.0,0.0,N/A,0.17647058823529413,0.2,536,19.8,58.620000000000005,1,0,1,0
ACC000169,Business,799,2024-09-27,36,348,0.953,87.5,100,66,14,0,51,0,57.3,False,None,0.0,0.0,N/A,0.0,0.66,434,7.99,53.98,0,0,1,0
ACC000170,Starter,99,2025-03-21,24,66,0.181,97.0,5,3,8,1,79,1,88.4,True,Failed_Payment_Retry,14.85,178.2,Easy,0.125,0.6,259,19.8,61.44,1,0,1,0
ACC000171,Starter,99,2024-03-09,12,202,0.553,79.6,5,2,21,1,75,3,83.3,False,None,0.0,0.0,N/A,0.047619047619047616,0.4,636,19.8,59.98,1,0,1,0
ACC000172,Professional,299,2024-02-07,36,14,0.038,62.2,20,18,22,1,10,5,77.7,True,Failed_Payment_Retry,44.85,538.2,Easy,0.045454545454545456,0.9,667,14.95,82.62,1,0,0,0
ACC000173,Starter,99,2024-06-25,12,237,0.649,79.2,5,4,17,0,23,1,79.2,False,None,0.0,0.0,N/A,0.0,0.8,528,19.8,78.32000000000001,1,0,0,0
ACC000174,Starter,99,2025-07-17,24,195,0.534,90.9,5,5,4,0,41,3,96.0,True,Failed_Payment_Retry,14.85,178.2,Easy,0.0,1.0,141,19.8,81.19999999999999,1,0,1,0
ACC000175,Professional,299,2025-02-02,24,168,0.46,75.0,20,23,10,1,43,3,66.2,False,None,0.0,0.0,N/A,0.1,1.15,306,14.95,62.519999999999996,1,0,1,1
ACC000176,Enterprise,2499,2024-08-14,24,216,0.592,95.1,500,315,15,0,32,0,25.3,True,Billing_System_Error,533.52,6402.3,Medium,0.0,0.63,478,4.998,42.38,1,0,1,0
ACC000177,Starter,99,2025-06-15,24,10,0.027,66.7,5,4,5,0,69,1,78.7,True,Failed_Payment_Retry,14.85,178.2,Easy,0.0,0.8,173,19.8,59.62,1,0,1,0
ACC000178,Starter,99,2025-07-15,24,115,0.315,85.3,5,3,4,0,83,0,56.7,False,None,0.0,0.0,N/A,0.0,0.6,143,19.8,40.82000000000001,1,0,1,0
ACC000179,Starter,99,2025-06-28,36,21,0.058,81.9,5,3,5,0,3,0,34.4,False,None,0.0,0.0,N/A,0.0,0.6,160,19.8,59.44,1,0,0,0
ACC000180,Starter,99,2024-12-27,12,11,0.03,83.6,5,2,11,0,79,2,78.3,False,None,0.0,0.0,N/A,0.0,0.4,343,19.8,55.379999999999995,1,0,1,0
ACC000181,Starter,99,2025-04-03,12,65,0.178,79.5,5,5,8,0,60,4,54.7,False,None,0.0,0.0,N/A,0.0,1.0,246,19.8,48.82,1,0,1,0
ACC000182,Professional,299,2025-05-12,36,112,0.307,61.7,20,12,6,0,59,1,63.3,False,None,0.0,0.0,N/A,0.0,0.6,207,14.95,54.379999999999995,1,0,1,0
ACC000183,Business,799,2024-12-18,24,86,0.236,72.5,100,61,11,2,77,2,74.0,True,Failed_Payment_Retry,119.85,1438.2,Easy,0.18181818181818182,0.61,352,7.99,53.6,1,0,1,0
ACC000184,Professional,299,2023-12-25,36,59,0.162,55.2,20,10,23,4,20,2,70.7,True,Failed_Payment_Retry,44.85,538.2,Easy,0.17391304347826086,0.5,711,14.95,74.42,1,1,0,0
ACC000185,Starter,99,2024-10-23,12,297,0.814,80.2,5,2,13,0,3,4,81.2,True,Billing_System_Error,19.52,234.26,Medium,0.0,0.4,408,19.8,87.52000000000001,0,0,0,0
ACC000186,Enterprise,2499,2024-10-22,36,347,0.951,78.1,500,222,13,0,48,2,65.1,False,None,0.0,0.0,N/A,0.0,0.444,409,4.998,59.86,0,0,1,0
ACC000187,Professional,299,2024-07-27,36,102,0.279,90.3,20,21,16,2,9,0,73.3,False,None,0.0,0.0,N/A,0.125,1.05,496,14.95,80.38,1,0,0,0
ACC000188,Starter,99,2024-01-09,36,322,0.882,69.4,5,1,23,0,31,2,64.9,True,Expired_Payment_Method,99.0,1188.0,Easy,0.0,0.2,696,19.8,66.54,0,0,1,0
ACC000189,Business,799,2025-05-25,36,155,0.425,97.9,100,51,6,0,87,1,79.7,True,Contract_Terms_Error,195.38,2344.55,Hard,0.0,0.51,194,7.99,53.02,1,0,1,0
ACC000190,Professional,299,2024-01-01,12,290,0.795,79.7,20,11,23,0,5,5,81.1,False,None,0.0,0.0,N/A,0.0,0.55,704,14.95,86.66,0,0,0,0
ACC000191,Starter,99,2024-09-16,36,220,0.603,70.1,5,2,14,1,84,2,55.4,False,None,0.0,0.0,N/A,0.07142857142857142,0.4,445,19.8,39.63999999999999,1,0,1,0
ACC000192,Starter,99,2024-08-23,12,260,0.712,88.6,5,3,15,0,82,2,68.7,False,None,0.0,0.0,N/A,0.0,0.6,469,19.8,48.42,0,0,1,0
ACC000193,Enterprise,2499,2024-09-22,12,216,0.592,94.4,500,340,14,0,62,3,77.3,True,Contract_Terms_Error,593.32,7119.89,Hard,0.0,0.68,439,4.998,61.58,1,0,1,0
ACC000194,Business,799,2025-05-21,24,186,0.51,97.8,100,79,6,0,81,1,71.5,False,None,0.0,0.0,N/A,0.0,0.79,198,7.99,50.5,1,0,1,0
ACC000195,Professional,299,2024-05-24,36,79,0.216,94.1,20,15,18,2,55,5,63.6,True,Billing_System_Error,48.0,576.02,Medium,0.1111111111111111,0.75,560,14.95,56.16,1,0,1,0
ACC000196,Starter,99,2025-03-10,36,268,0.734,71.8,5,5,9,0,83,4,62.3,False,None,0.0,0.0,N/A,0.0,1.0,270,19.8,44.17999999999999,0,0,1,0
ACC000197,Starter,99,2024-12-04,36,276,0.756,76.3,5,5,12,0,61,1,80.4,False,None,0.0,0.0,N/A,0.0,1.0,366,19.8,63.84,0,0,1,0
ACC000198,Business,799,2024-05-18,24,304,0.833,46.9,100,44,18,0,34,4,54.7,False,None,0.0,0.0,N/A,0.0,0.44,566,7.99,59.22,0,1,1,0
ACC000199,Starter,99,2024-10-11,12,45,0.123,78.3,5,2,14,1,35,3,85.9,False,None,0.0,0.0,N/A,0.07142857142857142,0.4,420,19.8,77.53999999999999,1,0,1,0
ACC000200,Starter,99,2024-06-02,12,238,0.652,86.3,5,4,18,0,72,2,72.5,True,Failed_Payment_Retry,14.85,178.2,Easy,0.0,0.8,551,19.8,54.7,1,0,1,0
ACC000201,Starter,99,2023-12-22,36,195,0.534,72.0,5,3,23,2,43,2,61.7,False,None,0.0,0.0,N/A,0.08695652173913043,0.6,714,19.8,59.82000000000001,1,0,1,0
ACC000202,Starter,99,2025-08-08,24,167,0.458,95.5,5,1,3,0,23,2,65.9,False,None,0.0,0.0,N/A,0.0,0.2,119,19.8,70.34,1,0,0,0
ACC000203,Starter,99,2024-04-25,12,182,0.499,77.4,5,2,19,1,33,2,68.5,False,None,0.0,0.0,N/A,0.05263157894736842,0.4,589,19.8,67.9,1,0,1,0
ACC000204,Professional,299,2024-09-23,24,306,0.838,52.7,20,10,14,0,89,3,61.2,False,None,0.0,0.0,N/A,0.0,0.5,438,14.95,41.12,0,1,1,0
ACC000205,Professional,299,2024-11-28,36,6,0.016,95.1,20,16,12,2,66,2,63.9,False,None,0.0,0.0,N/A,0.16666666666666666,0.8,372,14.95,51.94,1,0,1,0
ACC000206,Starter,99,2025-02-23,12,124,0.34,87.0,5,4,9,1,52,1,66.4,False,None,0.0,0.0,N/A,0.1111111111111111,0.8,285,19.8,59.040000000000006,1,0,1,0
ACC000207,Starter,99,2024-04-24,36,124,0.34,81.9,5,1,19,1,88,3,77.7,False,None,0.0,0.0,N/A,0.05263157894736842,0.2,590,19.8,51.42,1,0,1,0
ACC000208,Professional,299,2024-05-07,36,365,1.0,62.4,20,13,19,0,62,1,50.7,False,None,0.0,0.0,N/A,0.0,0.65,577,14.95,45.620000000000005,0,0,1,0
ACC000209,Starter,99,2024-06-05,12,48,0.132,77.9,5,1,18,3,37,2,69.2,False,None,0.0,0.0,N/A,0.16666666666666666,0.2,548,19.8,66.72,1,0,1,0
ACC000210,Professional,299,2025-01-23,24,355,0.973,81.0,20,11,10,0,31,1,34.8,False,None,0.0,0.0,N/A,0.0,0.55,316,14.95,48.480000000000004,0,0,1,0
ACC000211,Business,799,2024-10-28,36,298,0.816,87.2,100,61,13,0,47,2,94.8,True,Billing_System_Error,86.61,1039.37,Medium,0.0,0.61,403,7.99,78.08,0,0,1,0
ACC000212,Business,799,2024-05-10,36,272,0.745,81.6,100,69,19,0,44,1,83.2,False,None,0.0,0.0,N/A,0.0,0.69,574,7.99,72.32000000000001,0,0,1,0
ACC000213,Starter,99,2024-06-28,36,282,0.773,61.1,5,1,17,0,42,2,70.2,False,None,0.0,0.0,N/A,0.0,0.2,525,19.8,65.32,0,0,1,0
ACC000214,Starter,99,2024-09-11,36,233,0.638,87.8,5,5,15,1,34,2,77.2,False,None,0.0,0.0,N/A,0.06666666666666667,1.0,450,19.8,72.72,1,0,1,0
ACC000215,Professional,299,2024-10-28,24,119,0.326,88.7,20,8,13,1,15,0,64.9,True,Failed_Payment_Retry,44.85,538.2,Easy,0.07692307692307693,0.4,403,14.95,72.94,1,0,0,0
ACC000216,Starter,99,2025-02-21,24,62,0.17,79.3,5,1,9,1,68,0,92.2,False,None,0.0,0.0,N/A,0.1111111111111111,0.2,287,19.8,68.12,1,0,1,0
ACC000217,Starter,99,2025-03-01,12,111,0.304,86.3,5,3,9,0,61,2,60.7,False,None,0.0,0.0,N/A,0.0,0.6,279,19.8,52.02,1,0,1,0
ACC000218,Business,799,2024-11-27,36,302,0.827,68.4,100,35,12,0,67,0,82.3,False,None,0.0,0.0,N/A,0.0,0.35,373,7.99,62.58,0,0,1,0
ACC000219,Professional,299,2024-01-04,24,52,0.142,84.5,20,7,23,2,24,4,85.9,True,Failed_Payment_Retry,44.85,538.2,Easy,0.08695652173913043,0.35,701,14.95,81.94,1,0,0,0
ACC000220,Business,799,2024-11-07,12,185,0.507,65.3,100,82,13,1,22,3,58.9,False,None,0.0,0.0,N/A,0.07692307692307693,0.82,393,7.99,66.53999999999999,1,0,0,0
ACC000221,Starter,99,2024-11-01,12,363,0.995,78.5,5,4,13,0,68,3,82.7,False,None,0.0,0.0,N/A,0.0,0.8,399,19.8,62.42,0,0,1,0
ACC000222,Starter,99,2025-04-30,24,24,0.066,86.1,5,3,7,0,6,0,38.6,False,None,0.0,0.0,N/A,0.0,0.6,219,19.8,60.760000000000005,1,0,0,0
ACC000223,Business,799,2024-02-18,24,358,0.981,94.5,100,87,21,0,16,1,47.3,True,Expired_Payment_Method,799.0,9588.0,Easy,0.0,0.87,656,7.99,61.980000000000004,0,0,0,0
ACC000224,Professional,299,2024-04-22,12,7,0.019,78.1,20,7,19,3,73,2,58.0,False,None,0.0,0.0,N/A,0.15789473684210525,0.35,592,14.95,45.599999999999994,1,0,1,0
ACC000225,Professional,299,2024-11-19,24,246,0.674,88.1,20,22,12,1,56,3,66.9,False,None,0.0,0.0,N/A,0.08333333333333333,1.1,381,14.95,57.74,1,0,1,0
ACC000226,Starter,99,2024-09-23,12,27,0.074,87.1,5,3,14,3,32,2,57.1,True,Failed_Payment_Retry,14.85,178.2,Easy,0.21428571428571427,0.6,438,19.8,61.46,1,0,1,0
ACC000227,Business,799,2024-05-05,12,34,0.093,65.3,100,82,19,3,51,4,87.7,False,None,0.0,0.0,N/A,0.15789473684210525,0.82,579,7.99,72.22,1,0,1,0
ACC000228,Starter,99,2024-04-21,12,296,0.811,69.3,5,4,19,0,80,3,72.6,True,Billing_System_Error,10.17,122.01,Medium,0.0,0.8,593,19.8,51.559999999999995,0,0,1,0
ACC000229,Professional,299,2025-07-14,12,77,0.211,84.1,20,16,4,0,72,4,55.9,False,None,0.0,0.0,N/A,0.0,0.8,144,14.95,44.74,1,0,1,0
ACC000230,Business,799,2024-10-30,12,128,0.351,87.4,100,66,13,0,15,3,78.2,True,Failed_Payment_Retry,119.85,1438.2,Easy,0.0,0.66,401,7.99,80.92,1,0,0,0
ACC000231,Professional,299,2024-02-13,24,311,0.852,69.5,20,17,22,0,76,3,66.6,False,None,0.0,0.0,N/A,0.0,0.85,661,14.95,49.559999999999995,0,0,1,0
ACC000232,Business,799,2023-12-13,12,268,0.734,87.9,100,103,24,1,48,1,68.6,False,None,0.0,0.0,N/A,0.041666666666666664,1.03,723,7.99,61.959999999999994,0,0,1,0
ACC000233,Starter,99,2024-06-02,24,153,0.419,93.4,5,2,18,0,75,1,45.3,True,Failed_Payment_Retry,14.85,178.2,Easy,0.0,0.4,551,19.8,37.17999999999999,1,0,1,0
ACC000234,Starter,99,2024-06-24,24,292,0.8,80.6,5,2,17,0,79,2,54.9,False,None,0.0,0.0,N/A,0.0,0.4,529,19.8,41.339999999999996,0,0,1,0
ACC000235,Starter,99,2025-07-07,36,51,0.14,76.7,5,3,5,0,26,1,26.6,False,None,0.0,0.0,N/A,0.0,0.6,151,19.8,45.56,1,0,0,0
ACC000236,Professional,299,2023-12-06,12,136,0.373,85.2,20,21,24,4,84,2,75.2,False,None,0.0,0.0,N/A,0.16666666666666666,1.05,730,14.95,51.519999999999996,1,0,1,0
ACC000237,Business,799,2025-06-15,12,123,0.337,90.9,100,70,5,0,22,0,54.5,False,None,0.0,0.0,N/A,0.0,0.7,173,7.99,63.9,1,0,0,0
ACC000238,Professional,299,2024-02-19,12,81,0.222,98.8,20,8,21,2,0,1,69.8,True,Billing_System_Error,16.29,195.43,Medium,0.09523809523809523,0.4,655,14.95,81.88,1,0,0,0
ACC000239,Business,799,2024-07-15,24,353,0.967,91.5,100,101,16,0,76,0,64.8,False,None,0.0,0.0,N/A,0.0,1.01,508,7.99,48.48,0,0,1,0
ACC000240,Professional,299,2024-05-13,24,17,0.047,80.1,20,10,19,0,29,4,74.9,False,None,0.0,0.0,N/A,0.0,0.5,571,14.95,73.34,1,0,0,0
ACC000241,Business,799,2024-11-15,36,145,0.397,90.6,100,111,12,1,89,2,81.3,False,None,0.0,0.0,N/A,0.08333333333333333,1.11,385,7.99,53.17999999999999,1,0,1,1
ACC000242,Starter,99,2024-05-30,12,352,0.964,75.0,5,3,18,0,29,4,75.2,True,Expired_Payment_Method,99.0,1188.0,Easy,0.0,0.6,554,19.8,73.52,0,0,0,0
ACC000243,Starter,99,2024-12-10,36,302,0.827,86.5,5,4,12,0,84,2,82.4,False,None,0.0,0.0,N/A,0.0,0.8,360,19.8,55.84,0,0,1,0
ACC000244,Starter,99,2025-02-16,24,59,0.162,67.1,5,5,9,0,69,0,77.8,False,None,0.0,0.0,N/A,0.0,1.0,292,19.8,59.08,1,0,1,0
ACC000245,Starter,99,2025-01-19,36,77,0.211,79.7,5,4,10,1,34,5,57.7,False,None,0.0,0.0,N/A,0.1,0.8,320,19.8,61.019999999999996,1,0,1,0
ACC000246,Starter,99,2025-04-14,12,31,0.085,89.8,5,5,7,1,21,1,51.9,False,None,0.0,0.0,N/A,0.14285714285714285,1.0,235,19.8,62.739999999999995,1,0,0,0
ACC000247,Professional,299,2024-10-27,36,292,0.8,95.7,20,19,13,0,36,3,35.7,False,None,0.0,0.0,N/A,0.0,0.95,404,14.95,47.02,0,0,1,0
ACC000248,Business,799,2024-06-14,12,240,0.658,73.1,100,47,17,0,88,2,78.1,False,None,0.0,0.0,N/A,0.0,0.47,539,7.99,51.66,1,0,1,0
ACC000249,Professional,299,2024-10-30,36,207,0.567,96.9,20,8,13,0,34,5,73.2,False,None,0.0,0.0,N/A,0.0,0.4,401,14.95,70.32000000000001,1,0,1,0
ACC000250,Starter,99,2024-04-12,36,253,0.693,80.4,5,2,20,1,56,1,72.8,True,Failed_Payment_Retry,14.85,178.2,Easy,0.05,0.4,602,19.8,61.28,1,0,1,0
ACC000251,Professional,299,2025-06-16,36,21,0.058,59.8,20,23,5,0,55,3,73.1,True,Usage_Overage_Unbilled,44.85,538.2,Medium,0.0,1.15,172,14.95,61.85999999999999,1,1,1,1
ACC000252,Professional,299,2024-10-11,36,129,0.353,96.2,20,20,14,1,3,1,48.0,True,Billing_System_Error,45.75,548.95,Medium,0.07142857142857142,1.0,420,14.95,67.6,1,0,0,0
ACC000253,Professional,299,2025-06-05,12,346,0.948,88.0,20,20,6,0,73,2,63.9,False,None,0.0,0.0,N/A,0.0,1.0,183,14.95,49.14,0,0,1,0
ACC000254,Professional,299,2024-01-14,12,345,0.945,79.1,20,16,23,0,34,0,61.0,True,Billing_System_Error,42.05,504.6,Medium,0.0,0.8,691,14.95,63.0,0,0,1,0
ACC000255,Professional,299,2024-01-25,12,90,0.247,87.9,20,21,22,4,60,2,76.0,False,None,0.0,0.0,N/A,0.18181818181818182,1.05,680,14.95,61.6,1,0,1,0
ACC000256,Professional,299,2024-03-24,36,227,0.622,88.5,20,20,20,0,35,1,56.2,False,None,0.0,0.0,N/A,0.0,1.0,621,14.95,59.72,1,0,1,0
ACC000257,Professional,299,2025-03-05,36,224,0.614,75.3,20,19,9,0,81,4,53.3,False,None,0.0,0.0,N/A,0.0,0.95,275,14.95,39.58,1,0,1,0
ACC000258,Starter,99,2024-04-21,12,241,0.66,77.3,5,3,19,0,44,2,85.6,True,Failed_Payment_Retry,14.85,178.2,Easy,0.0,0.6,593,19.8,73.75999999999999,1,0,1,0
ACC000259,Business,799,2024-07-15,24,165,0.452,74.3,100,119,16,0,85,3,45.6,False,None,0.0,0.0,N/A,0.0,1.19,508,7.99,33.36,1,0,1,1
ACC000260,Professional,299,2025-05-22,12,169,0.463,84.3,20,22,6,0,52,1,50.8,False,None,0.0,0.0,N/A,0.0,1.1,197,14.95,49.68,1,0,1,0
ACC000261,Business,799,2024-04-17,24,340,0.932,88.0,100,34,19,0,51,2,65.9,False,None,0.0,0.0,N/A,0.0,0.34,597,7.99,59.14,0,0,1,0
ACC000262,Starter,99,2024-02-21,12,233,0.638,46.1,5,2,21,1,11,2,60.7,False,None,0.0,0.0,N/A,0.047619047619047616,0.4,653,19.8,72.02000000000001,1,1,0,0
ACC000263,Business,799,2024-10-19,24,166,0.455,86.6,100,38,13,0,14,2,82.4,False,None,0.0,0.0,N/A,0.0,0.38,412,7.99,83.84,1,0,0,0
ACC000264,Professional,299,2024-07-20,36,1,0.003,94.1,20,16,16,3,84,1,73.4,False,None,0.0,0.0,N/A,0.1875,0.8,503,14.95,50.44,1,0,1,0
ACC000265,Professional,299,2024-02-29,24,212,0.581,94.3,20,10,21,2,6,2,59.6,False,None,0.0,0.0,N/A,0.09523809523809523,0.5,645,14.95,73.36,1,0,0,0
ACC000266,Professional,299,2025-02-26,36,186,0.51,64.3,20,12,9,0,79,1,59.4,True,Failed_Payment_Retry,44.85,538.2,Easy,0.0,0.6,282,14.95,44.04,1,0,1,0
ACC000267,Starter,99,2024-04-14,36,227,0.622,94.1,5,2,20,1,6,3,53.7,True,Failed_Payment_Retry,14.85,178.2,Easy,0.05,0.4,600,19.8,69.82,1,0,0,0
ACC000268,Business,799,2025-02-10,24,282,0.773,91.5,100,39,9,0,16,4,63.9,True,Billing_System_Error,103.32,1239.85,Medium,0.0,0.39,298,7.99,71.94,0,0,0,0
ACC000269,Professional,299,2024-11-16,24,358,0.981,92.4,20,10,12,0,62,2,82.4,True,Expired_Payment_Method,299.0,3588.0,Easy,0.0,0.5,384,14.95,64.64,0,0,1,0
ACC000270,Professional,299,2025-05-05,12,323,0.885,97.8,20,14,7,0,77,0,32.7,False,None,0.0,0.0,N/A,0.0,0.7,214,14.95,28.82,0,0,1,0
ACC000271,Starter,99,2025-01-04,36,82,0.225,82.4,5,4,11,1,39,1,79.7,False,None,0.0,0.0,N/A,0.09090909090909091,0.8,335,19.8,72.22,1,0,1,0
ACC000272,Professional,299,2024-02-20,12,283,0.775,91.0,20,18,21,1,52,4,85.9,False,None,0.0,0.0,N/A,0.047619047619047616,0.9,654,14.95,70.74000000000001,0,0,1,0
ACC000273,Starter,99,2025-06-03,12,59,0.162,59.5,5,3,6,0,59,0,56.1,True,Failed_Payment_Retry,14.85,178.2,Easy,0.0,0.6,185,19.8,50.06,1,1,1,0
ACC000274,Business,799,2025-05-09,36,79,0.216,56.8,100,78,7,1,63,3,30.7,True,Failed_Payment_Retry,119.85,1438.2,Easy,0.14285714285714285,0.78,210,7.99,33.22,1,1,1,0
ACC000275,Starter,99,2024-11-12,36,362,0.992,87.5,5,5,12,0,34,5,83.3,True,Expired_Payment_Method,99.0,1188.0,Easy,0.0,1.0,388,19.8,76.38,0,0,1,0
ACC000276,Starter,99,2024-07-08,24,242,0.663,92.3,5,4,17,1,31,5,90.2,False,None,0.0,0.0,N/A,0.058823529411764705,0.8,515,19.8,81.72,1,0,1,0
ACC000277,Starter,99,2024-05-27,36,75,0.205,94.7,5,1,18,0,49,2,71.2,False,None,0.0,0.0,N/A,0.0,0.2,557,19.8,63.120000000000005,1,0,1,0
ACC000278,Professional,299,2025-02-23,36,261,0.715,89.9,20,20,9,0,17,3,83.5,False,None,0.0,0.0,N/A,0.0,1.0,285,14.95,83.30000000000001,0,0,0,0
ACC000279,Business,799,2025-06-27,24,213,0.584,57.5,100,98,5,0,43,2,81.9,True,Billing_System_Error,73.52,882.2,Medium,0.0,0.98,161,7.99,71.94,1,1,1,0
ACC000280,Starter,99,2024-04-05,24,2,0.005,98.1,5,5,20,2,36,2,53.1,False,None,0.0,0.0,N/A,0.1,1.0,609,19.8,57.46,1,0,1,0
ACC000281,Professional,299,2024-11-05,36,297,0.814,76.8,20,17,13,0,84,1,59.1,False,None,0.0,0.0,N/A,0.0,0.85,395,14.95,41.86,0,0,1,0
ACC000282,Starter,99,2024-04-23,12,229,0.627,80.0,5,1,19,1,68,3,52.0,False,None,0.0,0.0,N/A,0.05263157894736842,0.2,591,19.8,44.0,1,0,1,0
ACC000283,Business,799,2024-04-29,24,171,0.468,83.1,100,68,19,1,70,0,73.7,False,None,0.0,0.0,N/A,0.05263157894736842,0.68,585,7.99,56.22,1,0,1,0
ACC000284,Professional,299,2024-02-28,24,234,0.641,78.4,20,8,21,1,41,2,73.7,False,None,0.0,0.0,N/A,0.047619047619047616,0.4,646,14.95,67.82,1,0,1,0
ACC000285,Business,799,2025-02-25,36,123,0.337,88.3,100,87,9,0,73,0,67.4,True,Failed_Payment_Retry,119.85,1438.2,Easy,0.0,0.87,283,7.99,51.24000000000001,1,0,1,0
ACC000286,Professional,299,2024-08-10,12,211,0.578,81.6,20,12,16,1,5,5,44.6,False,None,0.0,0.0,N/A,0.0625,0.6,482,14.95,64.76,1,0,0,0
ACC000287,Professional,299,2024-10-16,36,243,0.666,71.2,20,10,13,0,90,0,77.3,False,None,0.0,0.0,N/A,0.0,0.5,415,14.95,50.379999999999995,1,0,1,0
ACC000288,Starter,99,2024-08-12,24,340,0.932,76.1,5,3,16,0,83,1,35.1,False,None,0.0,0.0,N/A,0.0,0.6,480,19.8,27.86,0,0,1,0
ACC000289,Business,799,2025-04-04,24,19,0.052,75.3,100,34,8,2,16,2,79.5,False,None,0.0,0.0,N/A,0.25,0.34,245,7.99,81.3,1,0,0,0
